Workload is insane,Stress
Laughing a lot today,Normal
Feeling abandoned,Depression
Always on edge,Anxiety
Breaking down again,Depression
Deadline tomorrow,Stress
I love weekends,Normal
Why am I always scared?,Anxiety
Life seems heavy,Depression
Got too much on my plate,Stress
Sunny days are the best,Normal
Nothing makes me happy,Depression
Nervous for no reason,Anxiety
I feel like giving up,Depression
I miss feeling alive,Depression
Can't concentrate,Stress
Having good dreams,Normal
Constant fear inside,Anxiety
Running out of time,Stress
Finally feeling free,Normal
Lost in sadness,Depression
Feeling helpless,Depression
I feel safe,Normal
No one understands,Depression
Big project stress,Stress
Tense all the time,Anxiety
Sunsets make me smile,Normal
Wanting to vanish,Depression
Pain inside grows,Depression
Can't control my fear,Anxiety
I am fine,Normal
Nothing matters anymore,Depression
Panic during meetings,Anxiety
Had a good laugh,Normal
I can't handle stress,Stress
Not feeling anything,Depression
Every little thing scares me,Anxiety
Felt alive today,Normal
Feeling hopeless,Depression
Heart pounding again,Anxiety
Struggling to get up,Depression
Enjoying small things,Normal
Hiding behind smiles,Depression
Sick of trying,Depression
Too much noise in my head,Anxiety
Getting things done,Normal
Can't talk to anyone,Depression
Feeling shaky inside,Anxiety
Overloaded with tasks,Stress
Nature makes me happy,Normal
Sinking deeper everyday,Depression
Constantly worrying,Anxiety
Work is crushing me,Stress
Feeling strong today,Normal
Waking up tired,Depression
Every text scares me,Anxiety
Taking deep breaths,Normal
Avoiding everyone,Depression
Tasks never end,Stress
Feeling tense for no reason,Anxiety
Small wins today,Normal
Want to go far away,Depression
Trust issues rising,Anxiety
Breathing in peace,Normal
Feeling unwanted,Depression
Can't focus anymore,Stress
I am relaxed,Normal
Lost faith in people,Depression
Brain won't stop,Anxiety
Managing stress well,Normal
I just want peace,Depression
Feeling weirdly calm,Normal
Anxious thoughts again,Anxiety
Cuddling with my dog,Normal
Losing grip,Depression
Feeling light today,Normal
Tired of acting happy,Depression
Pressure building up,Stress
Mind buzzing again,Anxiety
Staying positive,Normal
Holding back tears,Depression
Living moment to moment,Normal
Fear controls me,Anxiety
Relaxed under the stars,Normal
Crying in secret,Depression
Task list never ends,Stress
Anxiety attacks suck,Anxiety
Feeling blessed,Normal
Drowning in sadness,Depression
Taking it slow,Normal
Everything overwhelms me,Anxiety
Being productive,Normal
No more energy,Depression
Feeling drained,Stress
Deep breaths help,Normal
Feeling lost again,Depression
Always second-guessing,Anxiety
Resting today,Normal
Dark thoughts again,Depression
Fearing everything,Anxiety
Good day overall,Normal
Slipping into sadness,Depression
Can't stop shaking,Anxiety
Work is chaotic,Stress
Smiling at small joys,Normal
Crumbling inside,Depression
Feeling anxious and lost,Anxiety
Breathing in calmness,Normal
Everything feels wrong,Depression
Facing my fears,Anxiety
Chilling with friends,Normal
Feeling like a ghost,Depression
Anxiety messing me up,Anxiety
Laughing a lot,Normal
Weight of stress,Stress
Trying to stay hopeful,Depression
Worrying about everything,Anxiety
Taking time to rest,Normal
Feeling better now,Normal
Still hurting inside,Depression
Anxiety ruining sleep,Anxiety
Binge working,Stress
Grateful for today,Normal
Numbness all over,Depression
Tension rising,Stress
Hopeful despite fear,Normal
Broken but breathing,Depression
Every sound scares me,Anxiety
Feeling calm finally,Normal
Tasks stressing me out,Stress
Guilt consumes me,Depression
Overthinking everything,Anxiety
Content for now,Normal
Fighting unseen battles,Depression
Fear of failing,Anxiety
Doing okay today,Normal
Silently hurting,Depression
Worried about the future,Anxiety
Feeling grateful,Normal
Tired of fake smiles,Depression
No reason to smile,Depression
Holding on barely,Depression
I feel so nervous,Anxiety
Can't wait to die,Depression
tired of everything,Depression
Feeling okay today,Normal
Mood feels balanced,Normal
Had a calm morning,Normal
Feeling relaxed after a long day,Normal
Doing my best and it feels enough,Normal
Feeling light-hearted today,Normal
Not much to complain about,Normal
Feeling peaceful inside,Normal
Had a decent day overall,Normal
Enjoying some quiet time,Normal
Feeling content with life,Normal
Things feel stable right now,Normal
Feeling emotionally okay,Normal
Today feels manageable,Normal
Feeling positive this morning,Normal
I am sad,Normal
I feel low for no clear reason,Depression
Nothing feels enjoyable anymore,Depression
Feeling empty even around people,Depression
I don’t feel like talking to anyone,Depression
Everything feels dull lately,Depression
I wake up already tired,Depression
Feeling heavy inside my chest,Depression
Lost interest in things I liked,Depression
Feeling disconnected from myself,Depression
Just feeling sad all day,Depression
Hard to find a reason to smile,Depression
Feeling mentally exhausted,Depression
Days feel the same and pointless,Depression
I feel broken inside,Depression
Trying but still feel low,Depression
I am very sad and depressed,Depression
Feeling anxious for no reason at all,Anxiety
Heart feels weird suddenly,Anxiety
Mind keeps imagining worst cases,Anxiety
I feel scared but don’t know why,Anxiety
Constant uneasiness inside me,Anxiety
Feeling anxious since morning,Anxiety
Thoughts won’t slow down,Anxiety
Sudden fear hits me,Anxiety
Feeling nervous even at home,Anxiety
Mind keeps racing nonstop,Anxiety
Feeling shaky without reason,Anxiety
I overthink everything I say,Anxiety
Always expecting something bad,Anxiety
Feeling tense all day long,Anxiety
Anxiety comes in waves,Anxiety
I tensed about my exams,Stress
Feeling pressured at work lately,Stress
Too many things due at once,Stress
Feeling mentally overloaded today,Stress
No time to relax at all,Stress
Work and life feel unbalanced,Stress
Deadlines keep piling up,Stress
Feeling stretched too thin,Stress
Can’t catch a break these days,Stress
Feeling stressed since morning,Stress
Too much responsibility on me,Stress
Always rushing from one thing to another,Stress
Feeling burnt out already,Stress
Stress is draining my energy,Stress
Everything feels urgent,Stress
Mentally tired from workload,Stress
statement,status
I'm completely overwhelmed with work deadlines and don't know how to manage everything,Stress
There's so much pressure at work and I feel like I'm drowning in responsibilities,Stress
"I have too many tasks to complete and not enough time, feeling really stretched thin",Stress
The workload is crushing me and I can't seem to catch a break,Stress
"I'm juggling work, family, and personal commitments and it's all too much",Stress
Constant deadlines and demands are making me exhausted and tense,Stress
I feel burned out from trying to handle everything at once,Stress
"Under so much pressure lately, can't keep up with all my responsibilities",Stress
I'm stressed out about meeting all these expectations and deadlines,Stress
Everything is piling up and I don't have time to breathe,Stress
"Work is so demanding and hectic, I'm always rushing and never relaxed",Stress
I'm overwhelmed by how much I need to get done each day,Stress
Feeling suffocated by all the demands on my time and energy,Stress
"Too many things competing for my attention, I'm spread too thin",Stress
The pressure from work and home life is becoming unbearable,Stress
I'm constantly behind schedule and it's stressing me out,Stress
My to-do list never ends and I feel like I'm failing at everything,Stress
Managing multiple projects simultaneously is exhausting me,Stress
I have no time for myself because I'm always busy with obligations,Stress
The burden of responsibilities is weighing heavily on me,Stress
I feel constantly on edge from trying to keep up with everything,Stress
Work demands are relentless and I'm running on empty,Stress
I'm overwhelmed with financial pressures and bills to pay,Stress
Trying to balance everything is leaving me exhausted and irritable,Stress
I can't cope with the amount of work I need to do,Stress
I feel anxious and worried about bad things that might happen in the future,Anxiety
I constantly worry about everything and can't stop overthinking,Anxiety
I have panic attacks and feel nervous for no apparent reason,Anxiety
What if something goes wrong? I can't stop these fearful thoughts,Anxiety
My heart races and I feel scared even when there's no real danger,Anxiety
I'm always anticipating problems and preparing for the worst,Anxiety
"I feel restless and on edge, worried about what might happen",Anxiety
I have this constant sense of dread about upcoming events,Anxiety
My mind won't stop racing with worried thoughts,Anxiety
I'm nervous about social situations and what people think of me,Anxiety
"I feel sad and hopeless, like nothing matters anymore",Depression
I've lost interest in things I used to enjoy and feel empty inside,Depression
"Getting out of bed feels impossible, I have no energy or motivation",Depression
I feel worthless and like I'm a burden to everyone,Depression
Life feels meaningless and I don't see the point in anything,Depression
I'm constantly tired and feel disconnected from everything around me,Depression
I have no appetite and sleeping is either too much or too little,Depression
I feel numb and can't seem to feel happiness anymore,Depression
Everything feels dark and I can't imagine things getting better,Depression
I feel guilty about everything and think I'm a failure,Depression
I'm in a good place mentally and feeling balanced,Normal
Life has its challenges but I'm managing them well,Normal
I feel positive about the future and capable of handling things,Normal
I have my ups and downs but overall I'm doing fine,Normal
I feel content and satisfied with how things are going,Normal
I'm maintaining healthy relationships and taking care of myself,Normal
I feel motivated and engaged with my daily activities,Normal
Things are going smoothly and I'm handling stress in a healthy way,Normal
I have a good support system and feel emotionally stable,Normal
I'm grateful for what I have and feel optimistic about life,Normal
